# [        radius (au) ]    [     norm. brightness ]
3.594122577367853566e+00	5.405303030303028507e-03
3.955020810763646200e+00	6.909090909090902059e-03
4.675652840075802175e+00	1.453030303030302534e-02
5.397974403632300522e+00	2.999242424242424057e-02
6.120034446446171117e+00	5.533333333333332466e-02
6.841926429451335778e+00	8.915530303030305692e-02
7.563590936925252528e+00	1.283484848484848506e-01
8.287043857504956534e+00	1.710795454545454841e-01
9.008136628828998127e+00	2.156401515151515347e-01
9.732221083517723415e+00	2.586969696969697030e-01
1.045570862303888049e+01	2.971363636363636429e-01
1.117861151516517815e+01	3.291363636363636158e-01
1.190275328394591448e+01	3.567310606060605793e-01
1.262541162590821564e+01	3.834659090909091628e-01
1.334753683698143512e+01	4.083750000000000435e-01
1.407151690462473859e+01	4.278106060606061134e-01
1.479689061774655379e+01	4.396212121212121349e-01
1.552007005922759753e+01	4.426287878787879548e-01
1.624536522908576686e+01	4.360795454545454697e-01
1.696556821244260149e+01	4.202954545454545277e-01
1.769060795923976670e+01	3.980681818181818210e-01
1.841842649905907336e+01	3.738030303030303036e-01
1.914186906236971097e+01	3.518977272727273342e-01
1.986330794174909542e+01	3.337500000000000466e-01
2.059098198801739343e+01	3.196856060606060868e-01
2.131267490269449993e+01	3.095909090909090833e-01
2.203703703703704164e+01	3.062651515151514903e-01
2.276285288256872619e+01	3.110946969696969933e-01
2.348867021013631273e+01	3.217272727272727506e-01
2.421277177768392264e+01	3.363295454545454644e-01
2.494010605978972706e+01	3.545833333333333615e-01
2.566317185879256968e+01	3.768068181818182150e-01
2.638700369351175112e+01	4.020416666666666861e-01
2.711050033144985250e+01	4.287765151515151585e-01
2.783954655107779885e+01	4.570151515151514854e-01
2.856633277396756299e+01	4.858977272727272312e-01
2.928967374518483169e+01	5.142462121212121318e-01
3.001592606678984509e+01	5.418409090909090953e-01
3.073665971441508660e+01	5.702954545454544943e-01
3.146676745926605179e+01	6.005719696969696875e-01
3.218957936205192283e+01	6.309621212121212519e-01
3.291210365915527092e+01	6.605946969696969706e-01
3.364236530942476833e+01	6.890492424242423697e-01
3.436252839742642351e+01	7.142803030303029876e-01
3.508894666995349354e+01	7.353257575757575770e-01
3.581266416050349477e+01	7.531515151515151274e-01
3.654176824993847106e+01	7.687196969696969973e-01
3.726692564732164215e+01	7.825719696969696271e-01
3.799655346502007092e+01	7.966363636363636980e-01
3.872094271539543797e+01	8.131742424242424105e-01
3.944884294921833856e+01	8.323939393939394638e-01
4.017017245108808510e+01	8.532234848484847589e-01
4.089401508538233543e+01	8.759848484848484773e-01
4.162040951777201769e+01	8.977840909090908372e-01
4.307916241612407759e+01	9.408409090909091166e-01
4.379940254525666177e+01	9.594128787878788422e-01
4.453208521649521856e+01	9.755189393939392994e-01
4.525339192611723149e+01	9.879772727272727595e-01
4.597520677494743069e+01	9.952765151515150510e-01
4.670811449633647783e+01	9.976401515151515076e-01
4.742879164200873277e+01	9.977462121212120616e-01
4.816058838764551808e+01	9.977462121212120616e-01
4.889091197779715259e+01	9.993560606060605256e-01
4.960729788882731839e+01	1.000969696969696843e+00
5.033418081766223651e+01	1.000000000000000000e+00
5.105838437185592227e+01	9.980681818181817988e-01
5.179347391701097081e+01	9.955984848484848992e-01
5.251172372175768288e+01	9.903371212121212519e-01
5.324041314998388685e+01	9.840037878787878389e-01
5.396561106446675637e+01	9.786325757575756734e-01
5.470019465317591312e+01	9.733749999999999902e-01
5.541683565477141116e+01	9.663939393939393607e-01
5.615701769738110727e+01	9.561931818181818032e-01
5.687789535718217593e+01	9.427727272727272068e-01
5.760802679543716209e+01	9.264507575757576774e-01
5.833282662229202487e+01	9.120643939393939803e-01
5.905186014550469054e+01	8.989621212121212679e-01
5.977921865549748048e+01	8.845757575757576818e-01
6.051608097974386169e+01	8.690075757575758120e-01
6.123060155799934989e+01	8.542954545454545245e-01
6.196917543658199889e+01	8.415189393939394025e-01
6.268505161323464847e+01	8.303522727272728554e-01
6.340862691145538577e+01	8.192916666666666403e-01
6.414113182345995767e+01	8.059772727272727089e-01
6.486516388590754900e+01	7.909469696969697594e-01
6.559795937843686886e+01	7.773106060606060908e-01
6.632112130666244809e+01	7.653901515151514401e-01
6.705285905623821918e+01	7.541174242424242280e-01
6.777558580253744935e+01	7.426287878787878327e-01
6.850548577711745679e+01	7.325340909090909403e-01
6.922641943785869501e+01	7.207234848484848078e-01
6.995431031754736750e+01	7.042954545454545023e-01
7.068985470780374669e+01	6.869015151515152073e-01
7.141513119696588774e+01	6.702575757575758297e-01
7.214784900833616632e+01	6.558712121212121327e-01
7.286906000745260314e+01	6.398712121212121184e-01
7.359814293351175252e+01	6.216174242424242768e-01
7.431511859835978839e+01	6.064810606060605513e-01
7.505866989588692206e+01	5.954204545454545583e-01
7.577009179142800122e+01	5.859696969696969182e-01
7.650891475934366781e+01	5.772727272727272707e-01
7.723408238141030324e+01	5.665378787878787570e-01
7.868668473397147523e+01	5.438825757575758146e-01
7.941247591205389256e+01	5.332500000000000018e-01
8.014568307973466688e+01	5.238030303030303259e-01
8.086454794787056244e+01	5.145681818181818690e-01
8.158986065797097353e+01	5.036174242424242831e-01
8.232167904380675338e+01	4.922348484848484418e-01
8.306006145788732908e+01	4.833219696969697221e-01
8.378394703577426128e+01	4.806363636363636394e-01
8.451414142587101708e+01	4.799924242424242204e-01
8.522844836854382322e+01	4.745189393939393541e-01
8.594879257787691529e+01	4.672159090909090984e-01
8.669785404366292880e+01	4.617386363636363789e-01
8.740858413885473510e+01	4.555113636363636309e-01
